Sample	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18
1	0.188427591101543	0.0968503194611568	0	0	0.197070089561669	0	0	0	0.0943755734383113	0	0	0	0	0.314629944643894	0	0.108646481793426	0	0
10	0.430489775875168	0.182138717191584	0	0.0545568711579257	0.0404154286112409	0.0578699775688128	0	0	0.090070561728318	0.0599923875838732	0.0180686904834235	0	0	0.0553004717511979	0	0.0110971180484558	0	0
11	0.198048138356485	0.0481598925718298	0.0434541658722057	0.0697308949180706	0.271116083907452	0	0	0	0	0.0761589010137308	0	0	0	0.0183245725952722	0.0664912292009514	0.208516121564002	0	0
2	0.413244384209023	0.0491954304196476	0.0529980734369032	0	0.109403765966319	0.0557088417413099	0	0.09205241516746	0.0419379768137812	0.0634005903926129	0.0273513091025034	0	0	0.0465030877360477	0.028764564639242	0.0194395603751502	0	0
3	0.0525853757375735	0.0325692293526894	0.162617184460197	0.109619782060272	0.141157564425788	0.0275935065040144	0	0.201703144500426	0.0943202797577433	0	0.083772066123036	0	0.0325213420438215	0.0332397581251105	0	0.028300766909328	0	0
4	0.07199138509008	0.0508769620301045	0.217933649296471	0.0643039359704357	0.155228452341795	0.0869335927265127	0	0.128062199350126	0.0299573431936614	0	0.128237818866661	0	0.0664746611341527	0	0	0	0	0
5	0.0391448888334015	0.0169281128832367	0.239687745088541	0	0.222053673692447	0.0749892419673614	0	0.149115428001756	0	0	0.134914219267043	0	0.0288952901014817	0.0942714001647316	0	0	0	0
6	0.547452408284581	0.166192934751906	0.0116594583081515	0	0.102847575822966	0.0358211978992194	0	0.0407490933136867	0.0313158287975005	0	0	0	0	0.0456899587903351	0	0.0182715440316528	0	0
7	0.122572002349722	0.046906269558361	0.119154016888909	0.0957006693083753	0.328345640340632	0.0257356405898515	0	0.118020144365167	0	0	0.0788783119098428	0	0	0	0	0.06468730468914	0	0
8	0.104824419567848	0.0233741456067014	0.214099945978825	0.108776456567857	0.15094304261541	0.0456060059872181	0	0.130653148182489	0	0	0.125126763879373	0	0.0417133006777847	0.0182467642067086	0	0	0.0366360067297849	0
9	0.528268682352711	0.309503561112256	0	0	0.036551502337487	0	0	0	0.101315455640293	0	0	0	0	0	0	0.0243607985572539	0	0
